"event","match","map","casters","text","line_id","word"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","10 of the world's greatest players stand before you. They have nowhere to run and they have nowhere to hide. Tonight, we",1,"10"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","10 of the world's greatest players stand before you. They have nowhere to run and they have nowhere to hide. Tonight, we",1,"world's"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","10 of the world's greatest players stand before you. They have nowhere to run and they have nowhere to hide. Tonight, we",1,"players"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","10 of the world's greatest players stand before you. They have nowhere to run and they have nowhere to hide. Tonight, we",1,"stand"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","10 of the world's greatest players stand before you. They have nowhere to run and they have nowhere to hide. Tonight, we",1,"run"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","10 of the world's greatest players stand before you. They have nowhere to run and they have nowhere to hide. Tonight, we",1,"hide"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","10 of the world's greatest players stand before you. They have nowhere to run and they have nowhere to hide. Tonight, we",1,"tonight"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","2:57:372 hours, 57 minutes, 37 secondswill watch them fight with their dreams on the line. Austin, Texas, pay close attention.",2,"watch"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","2:57:372 hours, 57 minutes, 37 secondswill watch them fight with their dreams on the line. Austin, Texas, pay close attention.",2,"fight"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","2:57:372 hours, 57 minutes, 37 secondswill watch them fight with their dreams on the line. Austin, Texas, pay close attention.",2,"dreams"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","2:57:372 hours, 57 minutes, 37 secondswill watch them fight with their dreams on the line. Austin, Texas, pay close attention.",2,"line"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","2:57:372 hours, 57 minutes, 37 secondswill watch them fight with their dreams on the line. Austin, Texas, pay close attention.",2,"austin"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","2:57:372 hours, 57 minutes, 37 secondswill watch them fight with their dreams on the line. Austin, Texas, pay close attention.",2,"texas"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","2:57:372 hours, 57 minutes, 37 secondswill watch them fight with their dreams on the line. Austin, Texas, pay close attention.",2,"pay"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","2:57:372 hours, 57 minutes, 37 secondswill watch them fight with their dreams on the line. Austin, Texas, pay close attention.",2,"close"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","2:57:372 hours, 57 minutes, 37 secondswill watch them fight with their dreams on the line. Austin, Texas, pay close attention.",2,"attention"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","2:57:452 hours, 57 minutes, 45 secondsDo you feel it? Your heart pounding with anticipation. That shiver down your spine. Counter strike lives within us.",3,"feel"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","2:57:452 hours, 57 minutes, 45 secondsDo you feel it? Your heart pounding with anticipation. That shiver down your spine. Counter strike lives within us.",3,"heart"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","2:57:452 hours, 57 minutes, 45 secondsDo you feel it? Your heart pounding with anticipation. That shiver down your spine. Counter strike lives within us.",3,"pounding"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","2:57:452 hours, 57 minutes, 45 secondsDo you feel it? Your heart pounding with anticipation. That shiver down your spine. Counter strike lives within us.",3,"anticipation"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","2:57:452 hours, 57 minutes, 45 secondsDo you feel it? Your heart pounding with anticipation. That shiver down your spine. Counter strike lives within us.",3,"shiver"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","2:57:452 hours, 57 minutes, 45 secondsDo you feel it? Your heart pounding with anticipation. That shiver down your spine. Counter strike lives within us.",3,"spine"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","2:57:452 hours, 57 minutes, 45 secondsDo you feel it? Your heart pounding with anticipation. That shiver down your spine. Counter strike lives within us.",3,"counter"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","2:57:452 hours, 57 minutes, 45 secondsDo you feel it? Your heart pounding with anticipation. That shiver down your spine. Counter strike lives within us.",3,"strike"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","2:57:452 hours, 57 minutes, 45 secondsDo you feel it? Your heart pounding with anticipation. That shiver down your spine. Counter strike lives within us.",3,"lives"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","2:57:582 hours, 57 minutes, 58 secondsAmerica.",4,"america"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","2:58:002 hours, 58 minutesThe world is watching and it's your time to shine.",5,"world"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","2:58:002 hours, 58 minutesThe world is watching and it's your time to shine.",5,"watching"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","2:58:002 hours, 58 minutesThe world is watching and it's your time to shine.",5,"time"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","2:58:002 hours, 58 minutesThe world is watching and it's your time to shine.",5,"shine"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","2:58:062 hours, 58 minutes, 6 secondsThis is the Austin Major Grand Final right here,",6,"austin"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","2:58:062 hours, 58 minutes, 6 secondsThis is the Austin Major Grand Final right here,",6,"major"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","2:58:062 hours, 58 minutes, 6 secondsThis is the Austin Major Grand Final right here,",6,"grand"
"BLAST_Austin_Major_2025","Grand_Final",1,"Scrawny_Launders","2:58:062 hours, 58 minutes, 6 secondsThis is the Austin Major Grand Final right here,",6,"final"
